batter,player_name,mean_exit_velo,mean_estimated_woba,pitch_count,exit_velo_rank
673962,"Jung, Josh",82.90762331838566,0.37696875,128,165.0
676059,"Westburg, Jordan",84.63634719710669,0.431391304347826,322,38.0
676356,"DeLuca, Jonny",78.35029469548134,0.3168941176470588,255,392.0
676369,"Velázquez, Nelson",82.852,0.3815862068965517,145,171.0
676391,"Clement, Ernie",80.70208333333333,0.30029187817258884,394,338.0
676475,"Burleson, Alec",83.32426303854875,0.3533148936170213,470,121.0
676609,"Caballero, José",78.24959349593496,0.3372203947368421,304,393.0
676694,"Meyers, Jake",81.5158154859967,0.3562383720930233,344,283.0
676801,"McCormick, Chas",80.6759878419453,0.3634795321637427,171,339.0
676914,"Schneider, Davis",82.38382899628253,0.38327519379844965,258,212.0
677587,"Rocchio, Brayan",79.48535773710482,0.29561682242990656,321,377.0
677588,"Tena, José",81.9460251046025,0.3840932203389831,118,254.0
677594,"Rodríguez, Julio",84.23659420289854,0.44086519607843133,408,63.0
677649,"Duran, Ezequiel",81.25482233502538,0.2955560975609756,205,309.0
677800,"Abreu, Wilyer",83.89153439153439,0.40993115942028985,276,81.0
677870,"Jiménez, Leo",79.6337164750958,0.374349593495935,123,373.0
677942,"Alexander, Blaze",81.98423423423424,0.299421052631579,114,250.0
677951,"Witt Jr., Bobby",85.5242156862745,0.46427109515260323,557,17.0
678009,"Meadows, Parker",81.0158024691358,0.3612641509433962,212,319.0
678246,"Vargas, Miguel",79.62305389221557,0.27779605263157897,152,374.0
678662,"Tovar, Ezequiel",81.40966386554622,0.3922945054945055,455,291.0
678877,"Noel, Jhonkensy",82.23431734317343,0.4276,130,223.0
678882,"Rafaela, Ceddanne",80.65807259073843,0.3604475703324808,391,340.0
679032,"Rojas, Johan",79.77145922746782,0.2905129151291513,271,368.0
679529,"Torkelson, Spencer",82.64594594594594,0.34935802469135807,243,190.0
679845,"Loftin, Nick",79.71408450704224,0.2737222222222222,126,370.0
680474,"Schuemann, Max",82.0990157480315,0.3473309608540925,281,240.0
680700,"Palacios, Richie",81.59710843373495,0.347819587628866,194,278.0
680718,"Barger, Addison",82.12723880597014,0.3709795918367347,147,231.0
680757,"Kwan, Steven",81.26444444444444,0.32466448801742914,459,308.0
680776,"Duran, Jarren",83.15005149330587,0.41538779527559055,508,136.0
680777,"Jeffers, Ryan",80.82996794871795,0.34030312500000004,320,325.0
680869,"Gelof, Zack",81.98536585365854,0.3831,310,249.0
680977,"Donovan, Brendan",83.61049030786772,0.3511940594059406,505,99.0
681082,"Stott, Bryson",81.21541353383459,0.32687764705882355,425,310.0
681146,"Bride, Jonah",81.81807580174927,0.3178722222222222,180,264.0
681297,"Cowser, Colton",83.68994082840237,0.43696407185628744,334,92.0
681351,"O'Hoppe, Logan",83.5141304347826,0.45320123839009285,323,107.0
681393,"Norby, Connor",80.39558823529411,0.4469130434782609,115,351.0
681481,"Carpenter, Kerry",85.45915119363394,0.5018620689655172,203,19.0
681624,"Pages, Andy",81.72123613312202,0.4059485530546624,311,273.0
681807,"Fry, David",83.40413669064748,0.37076029962546814,267,116.0
682177,"Schneemann, Daniel",81.73840830449828,0.3528778625954198,131,271.0
682622,"Marte, Noelvi",81.38811881188118,0.3741806451612903,155,294.0
682626,"Alvarez, Francisco",83.26984815618222,0.3472292490118577,253,126.0
682641,"Matos, Luis",82.85236051502146,0.30780314960629923,127,170.0
682657,"Martínez, Angel",80.72107438016529,0.2915123966942149,121,336.0
682829,"De La Cruz, Elly",84.10766016713092,0.44483919597989946,398,70.0
682928,"Abrams, CJ",81.65576923076924,0.37565133171912835,413,276.0
682985,"Greene, Riley",83.18215223097113,0.4451835106382979,376,133.0
682998,"Carroll, Corbin",83.03286978508217,0.3557995642701525,459,150.0
683002,"Henderson, Gunnar",84.90923248053392,0.4501054852320675,474,28.0
683011,"Volpe, Anthony",81.8102512562814,0.340426,500,266.0
683146,"Baty, Brett",80.8237885462555,0.32920000000000005,110,327.0
683734,"Vaughn, Andrew",84.22275943396225,0.37992986425339365,442,65.0
683737,"Busch, Michael",83.31483594864478,0.40242686567164176,335,123.0
686217,"Frelick, Sal",79.06718528995756,0.2918673218673219,407,386.0
686469,"Pasquantino, Vinnie",85.36101499423299,0.3514352678571429,448,20.0
686527,"Canzone, Dominic",82.41643192488263,0.3965565217391304,115,209.0
686668,"Doyle, Brenton",82.69338028169014,0.4181628498727735,393,186.0
686676,"Lee, Korey",81.47505070993914,0.35439763779527556,254,285.0
686681,"Massey, Michael",83.57062937062938,0.35081481481481486,297,103.0
686780,"Pagés, Pedro",82.64765100671141,0.3487222222222222,144,189.0
686797,"Lee, Brooks",81.79421487603307,0.3016095890410959,146,267.0
686823,"Brennan, Will",80.41059479553904,0.3215296167247387,287,350.0
687263,"Neto, Zach",83.01920529801325,0.3789625935162095,401,153.0
687363,"Scott II, Victor",80.36182795698925,0.31876470588235295,102,354.0
687401,"Ortiz, Joey",81.32349486049927,0.3271671469740634,347,303.0
687462,"Horwitz, Spencer",81.75543672014261,0.36366030534351146,262,270.0
687597,"Beck, Jordan",80.89532710280373,0.3857641509433962,106,321.0
689172,"Wisely, Brett",80.26125356125357,0.31533155080213904,187,358.0
690993,"Keith, Colt",83.24311543810849,0.36541545893719807,414,128.0
691016,"Soderstrom, Tyler",85.18091286307053,0.42783211678832117,137,21.0
691023,"Walker, Jordan",84.13923444976076,0.36779464285714286,112,69.0
691026,"Winn, Masyn",80.30033444816053,0.3296764705882353,476,356.0
691406,"Caminero, Junior",84.94021164021164,0.3592222222222222,126,27.0
691718,"Crow-Armstrong, Pete",80.70756756756757,0.34936823104693143,277,337.0
693304,"Gonzales, Nick",81.86803738317758,0.37238675958188155,287,262.0
694192,"Chourio, Jackson",84.24494382022472,0.4019012048192771,415,61.0
694384,"Schanuel, Nolan",80.78830188679245,0.33312380952380954,420,331.0
694388,"Loperfido, Joey",81.5831715210356,0.368503355704698,149,279.0
694671,"Langford, Wyatt",83.51467625899281,0.386007874015748,381,106.0
695578,"Wood, James",86.29016853932585,0.4544873096446701,197,8.0
696100,"Goodman, Hunter",81.98935483870967,0.373006711409396,149,248.0
696285,"Young, Jacob",77.86718506998444,0.324010989010989,364,396.0
700250,"Rice, Ben",82.61502145922746,0.4162385321100917,109,193.0
700932,"Manzardo, Kyle",83.53640350877193,0.3592583333333333,120,105.0
701538,"Merrill, Jackson",83.05486542443064,0.43947761194029855,469,145.0
702358,"Lipscomb, Trey",80.10647482014387,0.2772066666666667,150,363.0
702616,"Holliday, Jackson",83.1073593073593,0.35040983606557374,122,140.0
807799,"Yoshida, Masataka",82.93869863013698,0.3279534161490683,322,162.0
808982,"Lee, Jung Hoo",84.25172413793102,0.31972,125,58.0
