p_throws,batter,player_name,mean_estimated_woba,pitch_count,pitch_hand_woba_rank
R,664913,"Brown, Seth",0.29785394277929156,367,483.0
R,664983,"McCarthy, Jake",0.3189321695906433,342,311.0
R,665019,"Clemens, Kody",0.25172803846153846,104,741.0
R,665052,"Conine, Griffin",0.3076795,66,405.0
R,665161,"Peña, Jeremy",0.31423144676409187,479,351.0
R,665487,"Tatis Jr., Fernando",0.4188160391566266,332,13.0
R,665489,"Guerrero Jr., Vladimir",0.41253135304990757,541,17.0
R,665742,"Soto, Juan",0.4729773453093813,501,3.0
R,665750,"Taveras, Leody",0.30806950476190476,420,399.0
R,665804,"Amaya, Miguel",0.313038125,264,360.0
R,665828,"Cabrera, Oswaldo",0.306279673553719,242,420.0
R,665833,"Cruz, Oneil",0.3602040692840647,433,103.0
R,665839,"Valdez, Enmanuel",0.31905952747252747,182,310.0
R,665862,"Chisholm Jr., Jazz",0.3342498708920188,426,219.0
R,665926,"Giménez, Andrés",0.3027083143459916,474,449.0
R,665953,"Chaparro, Andrés",0.24196516091954026,87,768.0
R,666018,"Aranda, Jonathan",0.37130539024390247,123,62.0
R,666023,"Fermin, Freddy",0.26074572653061223,245,705.0
R,666134,"Jones, Nolan",0.3100738769230769,195,382.0
R,666135,"Kirilloff, Alex",0.31316745508982036,167,358.0
R,666139,"Lowe, Josh",0.3078622942942943,333,402.0
R,666149,"Fitzgerald, Tyler",0.2651184866071429,224,687.0
R,666150,"Fletcher, Dominic",0.2423119944134078,179,766.0
R,666152,"Hamilton, David",0.2917970486891386,267,541.0
R,666158,"Lux, Gavin",0.32739827394209353,449,265.0
R,666160,"Moniak, Mickey",0.2920919764397906,382,538.0
R,666163,"Rortvedt, Ben",0.265895256227758,281,684.0
R,666176,"Adell, Jo",0.29572144281524926,341,507.0
R,666181,"Benson, Will",0.2715439392971246,313,663.0
R,666182,"Bichette, Bo",0.29738285,260,486.0
R,666185,"Carlson, Dylan",0.2288570067114094,149,783.0
R,666310,"Naylor, Bo",0.26533772641509434,318,685.0
R,666397,"Julien, Edouard",0.2930673962264151,265,529.0
R,666464,"Encarnacion, Jerar",0.37665395945945945,74,53.0
R,666624,"Morel, Christopher",0.32357337735849057,477,281.0
R,666969,"García, Adolis",0.3094533050847458,472,388.0
R,666971,"Gurriel Jr., Lourdes",0.2993150402144772,373,469.0
R,667452,"Julks, Corey",0.2583576326530612,98,718.0
R,667670,"Rooker, Brent",0.3790460405117271,469,50.0
R,668227,"Arozarena, Randy",0.3160188056768559,458,333.0
R,668670,"Rogers, Jake",0.3091063661417323,254,394.0
R,668709,"Bleday, JJ",0.32533958939096264,509,276.0
R,668715,"Steer, Spencer",0.3109505166666667,480,377.0
R,668731,"Baddoo, Akil",0.3007278961038961,77,464.0
R,668800,"Knizner, Andrew",0.2322624696969697,66,778.0
R,668804,"Reynolds, Bryan",0.35656270625,480,113.0
R,668832,"McCann, Kyle",0.2873974383561644,146,572.0
R,668845,"Schunk, Aaron",0.25858221875,64,716.0
R,668885,"Martin, Austin",0.28820888636363634,176,564.0
R,668901,"Vientos, Mark",0.34077280332409976,361,178.0
R,668904,"Lewis, Royce",0.3142025450450451,222,352.0
R,668930,"Turang, Brice",0.3046568913934426,488,436.0
R,668939,"Rutschman, Adley",0.3057589032967033,455,424.0
R,668942,"Rojas, Josh",0.30668668827930173,401,414.0
R,669003,"Mitchell, Garrett",0.33334207329842935,191,228.0
R,669004,"Melendez, MJ",0.33103849870801033,387,246.0
R,669016,"Marsh, Brandon",0.3365500841836735,392,202.0
R,669065,"Stowers, Kyle",0.2935322727272727,165,523.0
R,669127,"Langeliers, Shea",0.33885793506493506,385,185.0
R,669134,"Campusano, Luis",0.3035718857142857,210,444.0
R,669221,"Murphy, Sean",0.31964471134020617,194,306.0
R,669222,"Senzel, Nick",0.28743288481675394,191,571.0
R,669224,"Wells, Austin",0.34909192156862745,357,145.0
R,669234,"Malloy, Justyn-Henry",0.2436835964912281,171,761.0
R,669242,"Edman, Tommy",0.23691555405405404,148,774.0
R,669257,"Smith, Will",0.32235483252427183,412,288.0
R,669261,"Suwinski, Jack",0.30792791845493567,233,401.0
R,669289,"Espinal, Santiago",0.28165284555984554,259,598.0
R,669304,"Miranda, Jose",0.3267245243055556,288,267.0
R,669357,"Gorman, Nolan",0.33742055913978497,279,195.0
R,669364,"Edwards, Xavier",0.3008106730769231,208,463.0
R,669394,"Burger, Jake",0.34684698971722366,389,153.0
R,669477,"Schmitt, Casey",0.27908221875,64,614.0
R,669701,"Smith, Josh",0.30960327555555556,450,385.0
R,669707,"Triolo, Jared",0.2943160283018868,318,515.0
R,669720,"Hays, Austin",0.24840576219512198,164,748.0
R,669743,"Call, Alex",0.32806805194805194,77,259.0
R,669911,"Toglia, Michael",0.3600215080906149,309,104.0
R,670032,"Lopez, Nicky",0.281521820855615,374,601.0
R,670042,"Raley, Luke",0.33654753825136613,366,203.0
R,670097,"Short, Zack",0.30635836666666666,60,418.0
R,670156,"Mastrobuoni, Miles",0.31381575,88,354.0
R,670242,"Wallner, Matt",0.3784878194444445,216,51.0
R,670541,"Alvarez, Yordan",0.4276333137254902,408,11.0
R,670623,"Paredes, Isaac",0.3072943446088795,473,408.0
R,670764,"Walls, Taylor",0.28291667346938776,196,590.0
R,670770,"Friedl, TJ",0.28972471814671813,259,553.0
R,671056,"Herrera, Iván",0.3695284335260116,173,65.0
R,671213,"Casas, Triston",0.33266632738095236,168,235.0
R,671218,"Ramos, Heliot",0.29984014285714283,392,466.0
R,671277,"García Jr., Luis",0.35065432762836185,409,136.0
R,671289,"Freeman, Tyler",0.28834785774058574,239,562.0
R,671732,"Butler, Lawrence",0.35465747471910114,356,118.0
R,671739,"Harris II, Michael",0.35275835975609754,328,126.0
R,672275,"Bailey, Patrick",0.3343168944281525,341,218.0
R,672279,"Siani, Michael",0.2603049409090909,220,711.0
R,672284,"Kelenic, Jarred",0.3160827345844504,373,331.0
R,672356,"Arias, Gabriel",0.27670401041666665,96,634.0
R,672386,"Kirk, Alejandro",0.33397766187050365,278,221.0
R,672515,"Moreno, Gabriel",0.33372912,225,222.0
R,672580,"Garcia, Maikel",0.2961829581589958,478,503.0
R,672640,"Lopez, Otto",0.32839801351351355,296,255.0
R,672695,"Perdomo, Geraldo",0.2774174247104247,259,626.0
R,672761,"Pérez, Wenceel",0.2867754880239521,334,575.0
R,672820,"Sosa, Lenyn",0.3253102186234818,247,277.0
R,673237,"Diaz, Yainer",0.3315740111607143,448,241.0
R,673357,"Robert Jr., Luis",0.2892896974522293,314,556.0
R,673490,"Kim, Ha-Seong",0.3113102476489028,319,375.0
R,673548,"Suzuki, Seiya",0.34578741363636367,440,157.0
R,673962,"Jung, Josh",0.2948970134228188,149,512.0
R,675961,"Williams, Alika",0.2059405,64,799.0
R,676059,"Westburg, Jordan",0.3598095264705882,340,106.0
R,676116,"Noda, Ryan",0.2676701511627907,86,679.0
R,676356,"DeLuca, Jonny",0.27072104230769234,260,668.0
R,676369,"Velázquez, Nelson",0.31201162420382167,157,369.0
R,676391,"Clement, Ernie",0.27761052768729644,307,624.0
R,676475,"Burleson, Alec",0.3484967725225225,444,146.0
R,676609,"Caballero, José",0.28017801146131804,349,610.0
R,676632,"Madris, Bligh",0.29264090410958904,73,533.0
R,676694,"Meyers, Jake",0.303689675900277,361,441.0
R,676801,"McCormick, Chas",0.27273947727272724,176,654.0
R,676914,"Schneider, Davis",0.3049916234177215,316,433.0
R,677008,"Kjerstad, Heston",0.2927938969072165,97,531.0
R,677587,"Rocchio, Brayan",0.28754511854103343,329,570.0
R,677588,"Tena, José",0.3229993025210084,119,284.0
R,677594,"Rodríguez, Julio",0.3494303772727273,440,144.0
R,677649,"Duran, Ezequiel",0.2672326282722513,191,681.0
R,677800,"Abreu, Wilyer",0.33224002374670186,379,239.0
R,677870,"Jiménez, Leo",0.3089822281879195,149,395.0
R,677942,"Alexander, Blaze",0.21072693877551021,98,795.0
R,677950,"Thomas, Alek",0.358278676056338,71,111.0
R,677951,"Witt Jr., Bobby",0.41728222876949744,577,14.0
R,678009,"Meadows, Parker",0.30323814682539685,252,447.0
R,678225,"Bae, Ji Hwan",0.29717278378378376,74,493.0
R,678246,"Vargas, Miguel",0.2643973172413793,145,691.0
R,678554,"Mead, Curtis",0.23323855555555556,81,777.0
R,678662,"Tovar, Ezequiel",0.2815920021141649,473,600.0
R,678877,"Noel, Jhonkensy",0.2778221310344828,145,622.0
R,678882,"Rafaela, Ceddanne",0.29016060340632605,411,549.0
R,679032,"Rojas, Johan",0.2580545577689243,251,719.0
R,679529,"Torkelson, Spencer",0.27511284539473685,304,647.0
R,679845,"Loftin, Nick",0.2897528305084746,118,552.0
