batter,player_name,mean_estimated_woba,pitch_count,risp_woba_rank
444482,"Peralta, David",0.3370918412698413,63,120.0
453568,"Blackmon, Charlie",0.2971406355140187,107,246.0
456781,"Solano, Donovan",0.32900687671232876,73,141.0
457705,"McCutchen, Andrew",0.32686911009174313,109,144.0
457759,"Turner, Justin",0.33611550684931507,146,123.0
467793,"Santana, Carlos",0.3311721779141104,163,135.0
500743,"Rojas, Miguel",0.3452443956043956,91,104.0
502054,"Pham, Tommy",0.32121719191919196,99,163.0
502110,"Martinez, J.D.",0.41887566000000004,150,17.0
502671,"Goldschmidt, Paul",0.30891015923566884,157,195.0
514888,"Altuve, Jose",0.3045187364341085,129,215.0
516782,"Marte, Starling",0.3654432897196262,107,59.0
518595,"d'Arnaud, Travis",0.34170291578947365,95,111.0
518692,"Freeman, Freddie",0.398279871657754,187,24.0
518735,"Grandal, Yasmani",0.32471964999999997,60,153.0
518792,"Heyward, Jason",0.27162901515151516,66,323.0
518934,"LeMahieu, DJ",0.27010409677419356,62,328.0
519203,"Rizzo, Anthony",0.27819665882352945,85,310.0
519317,"Stanton, Giancarlo",0.4294297751937985,129,8.0
521692,"Perez, Salvador",0.37408527513227513,189,46.0
527038,"Flores, Wilmer",0.22057694029850747,67,384.0
542194,"Bethancourt, Christian",0.283484625,48,293.0
542303,"Ozuna, Marcell",0.41329555000000007,160,18.0
543257,"Grossman, Robbie",0.2719404814814815,54,321.0
543309,"Higashioka, Kyle",0.26567829411764704,85,340.0
543510,"McCann, James",0.2885172222222222,63,278.0
543685,"Rendon, Anthony",0.26930869090909093,55,331.0
543760,"Semien, Marcus",0.3673486691176471,136,54.0
543807,"Springer, George",0.35129428260869566,138,87.0
543877,"Vázquez, Christian",0.21181577499999998,80,391.0
545121,"Vargas, Ildemaro",0.2896951168831169,77,275.0
545341,"Grichuk, Randal",0.422994275862069,87,12.0
547180,"Harper, Bryce",0.3816424436619718,142,38.0
553869,"Díaz, Elias",0.2881410652173913,92,279.0
553993,"Suárez, Eugenio",0.3119123163841808,177,190.0
570482,"Urshela, Gio",0.2869480085470086,117,283.0
571448,"Arenado, Nolan",0.30490100719424457,139,214.0
571657,"Farmer, Kyle",0.29427133333333333,66,259.0
571745,"Haniger, Mitch",0.2886447450980392,102,277.0
571771,"Hernández, Enrique",0.28537445370370373,108,288.0
571970,"Muncy, Max",0.32607255208333336,96,148.0
